Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
2021-06-06,173310870,3728581,111146372,58435917,322691,2.15,64.13,3.35,193
2021-06-07,173632175,3736661,111568369,58327145,321305,2.15,64.26,3.35,193
2021-06-08,173998995,3747042,111983105,58268848,366820,2.15,64.36,3.35,193
2021-06-09,174418487,3757506,112435800,58225181,419492,2.15,64.46,3.34,193
2021-06-10,174867993,3773513,112849489,58244991,449506,2.16,64.53,3.34,193
2021-06-11,175289246,3785446,113225021,58278779,421253,2.16,64.59,3.34,193
2021-06-12,175661149,3795213,113563995,58301941,371903,2.16,64.65,3.34,193
2021-06-13,175964067,3804361,113993656,58166050,302918,2.16,64.78,3.34,193
2021-06-14,176272585,3812247,114340430,58119908,308518,2.16,64.87,3.33,193
2021-06-15,176644086,3822808,114800575,58020703,371501,2.16,64.99,3.33,193
2021-06-16,177042620,3833150,115149802,58059668,398534,2.17,65.04,3.33,193
2021-06-17,177435116,3842416,115530280,58062420,392496,2.17,65.11,3.33,193
2021-06-18,177841047,3851627,115849843,58139577,405931,2.17,65.14,3.32,193
2021-06-19,178188494,3859699,116181693,58147102,347447,2.17,65.2,3.32,194
2021-06-20,178488818,3866260,116446787,58175771,300324,2.17,65.24,3.32,194
2021-06-21,178786159,3873337,116804005,58108817,297341,2.17,65.33,3.32,194
2021-06-22,179158296,3882272,117107409,58168615,372137,2.17,65.37,3.32,194
2021-06-23,179595551,3891796,117507152,58196603,437255,2.17,65.43,3.31,194
2021-06-24,179999393,3900407,117796863,58302123,403842,2.17,65.44,3.31,194
2021-06-25,180421133,3909620,118125510,58386003,421740,2.17,65.47,3.31,194
2021-06-26,180783952,3917084,118420069,58446799,362819,2.17,65.5,3.31,194
2021-06-27,181093841,3923031,118678808,58492002,309889,2.17,65.53,3.31,194
2021-06-28,181425790,3929677,119006264,58489849,331949,2.17,65.6,3.3,194
2021-06-29,181809946,3937789,119299680,58572477,384156,2.17,65.62,3.3,194
2021-06-30,182202375,3946945,119579566,58675864,392452,2.17,65.63,3.3,194
2021-07-01,182641434,3955628,120005935,58679871,439059,2.17,65.71,3.3,194
2021-07-02,183084575,3963902,120299519,58821154,443141,2.17,65.71,3.3,194
2021-07-03,183459631,3970744,120569294,58919593,375056,2.16,65.72,3.29,194
2021-07-04,183786486,3977133,120868182,58941171,326855,2.16,65.77,3.29,194
2021-07-05,184158258,3984595,121235175,58938488,371772,2.16,65.83,3.29,194
2021-07-06,184612003,3993160,121563018,59055825,453745,2.16,65.85,3.28,194
2021-07-07,185075852,4001746,121831181,59242925,463849,2.16,65.83,3.28,194
2021-07-08,185557387,4010591,122123832,59422964,481535,2.16,65.81,3.28,194
2021-07-09,186060062,4018993,122457824,59583245,502675,2.16,65.82,3.28,194
